model,year,price,mileage,tax,mpg,engineSize,model_encoded,transmission_Automatic,transmission_Manual,transmission_Semi-Auto,fuelType_Diesel,fuelType_Electric,fuelType_Hybrid,fuelType_Other,fuelType_Petrol
 Fiesta,2018,11998,15798,150.0,65.7,1.0,5,0,1,0,0,0,0,0,1
 Focus,2017,10598,14212,145.0,60.1,1.0,6,0,1,0,0,0,0,0,1
 Focus,2017,10998,27412,150.0,74.3,1.5,6,0,1,0,1,0,0,0,0
 Fiesta,2015,7498,2263,0.0,65.7,1.0,5,0,1,0,0,0,0,0,1
 Kuga,2014,7998,69211,150.0,53.3,2.0,13,0,1,0,1,0,0,0,0
 Focus,2017,11998,16121,150.0,74.3,1.5,6,0,1,0,1,0,0,0,0
 Focus,2017,12698,15619,145.0,74.3,1.5,6,0,1,0,1,0,0,0,0
 Focus,2017,9998,28534,0.0,74.3,1.5,6,0,1,0,1,0,0,0,0
 EcoSport,2015,7998,41527,160.0,44.8,1.5,2,0,1,0,0,0,0,0,1
 B-MAX,2017,9598,29720,30.0,57.7,1.0,0,0,1,0,0,0,0,0,1
 Focus,2018,14598,6194,145.0,57.7,1.0,6,0,1,0,0,0,0,0,1
 Tourneo Custom,2015,15998,30324,235.0,43.5,2.2,21,0,1,0,1,0,0,0,0
 EcoSport,2016,9998,4027,30.0,64.2,1.5,2,0,1,0,1,0,0,0,0
 Focus,2018,16998,21284,145.0,74.3,1.5,6,0,1,0,1,0,0,0,0
 EcoSport,2018,14498,22338,145.0,54.3,1.0,2,0,1,0,0,0,0,0,1
 Focus,2016,13798,24123,20.0,67.3,2.0,6,0,1,0,1,0,0,0,0
 Fiesta,2015,6998,37376,125.0,54.3,1.2,5,0,1,0,0,0,0,0,1
 Kuga,2017,14998,9587,150.0,60.1,2.0,13,0,1,0,1,0,0,0,0
 Fiesta,2017,9998,5012,150.0,65.7,1.0,5,0,1,0,0,0,0,0,1
 Focus,2017,12498,20554,0.0,74.3,1.5,6,0,1,0,1,0,0,0,0
 Focus,2017,13298,12912,150.0,46.3,1.5,6,1,0,0,0,0,0,0,1
 Fiesta,2016,7998,30654,0.0,65.7,1.0,5,0,1,0,0,0,0,0,1
 EcoSport,2017,9998,42692,125.0,52.3,1.0,2,0,1,0,0,0,0,0,1
 EcoSport,2017,8998,36501,30.0,64.2,1.5,2,0,1,0,1,0,0,0,0
 Fiesta,2016,9998,22147,0.0,78.5,1.5,5,0,1,0,1,0,0,0,0
 Fiesta,2016,10998,14345,0.0,65.7,1.0,5,0,1,0,0,0,0,0,1
 Grand Tourneo Connect,2017,12298,17442,30.0,64.2,1.5,10,0,1,0,1,0,0,0,0
 Kuga,2014,9298,59701,145.0,53.3,2.0,13,0,1,0,1,0,0,0,0
 Fiesta,2013,5798,33850,30.0,54.3,1.2,5,0,1,0,0,0,0,0,1
 Fiesta,2018,10498,14272,145.0,65.7,1.0,5,0,1,0,0,0,0,0,1
 Fiesta,2016,7998,22016,125.0,54.3,1.2,5,0,1,0,0,0,0,0,1
 Fiesta,2019,12498,14348,145.0,56.5,1.0,5,0,1,0,0,0,0,0,1
 Focus,2019,16498,9557,145.0,60.1,1.0,6,0,1,0,0,0,0,0,1
 Fiesta,2018,10798,18847,145.0,88.3,1.5,5,0,1,0,1,0,0,0,0
 Fiesta,2019,11298,13778,150.0,58.9,1.0,5,0,1,0,0,0,0,0,1
 B-MAX,2018,11698,9782,145.0,55.4,1.0,0,0,1,0,0,0,0,0,1
 Fiesta,2018,10298,18192,145.0,65.7,1.0,5,0,1,0,0,0,0,0,1
 Focus,2018,18998,19725,145.0,67.3,2.0,6,0,1,0,1,0,0,0,0
 Focus,2017,11998,9038,0.0,74.3,1.5,6,0,1,0,1,0,0,0,0
 Fiesta,2017,9998,19096,145.0,65.7,1.0,5,0,1,0,0,0,0,0,1
 Fiesta,2017,8498,17292,145.0,54.3,1.2,5,0,1,0,0,0,0,0,1
 EcoSport,2018,12998,30127,145.0,54.3,1.0,2,0,1,0,0,0,0,0,1
 Fiesta,2018,9998,14519,145.0,64.2,1.1,5,0,1,0,0,0,0,0,1
 EcoSport,2017,9698,33005,145.0,53.3,1.0,2,0,1,0,0,0,0,0,1
 C-MAX,2016,10498,25356,20.0,64.2,1.5,1,0,0,1,1,0,0,0,0
 Fiesta,2016,7998,29531,125.0,54.3,1.2,5,0,1,0,0,0,0,0,1
 Fiesta,2016,6998,34716,125.0,54.3,1.2,5,0,1,0,0,0,0,0,1
 Kuga,2017,17698,7373,150.0,54.3,2.0,13,0,0,1,1,0,0,0,0
 Fiesta,2016,7298,35367,125.0,54.3,1.2,5,0,1,0,0,0,0,0,1
 Focus,2016,8498,38313,20.0,60.1,1.0,6,0,1,0,0,0,0,0,1
 Focus,2014,7298,52544,20.0,67.3,1.6,6,0,1,0,1,0,0,0,0
 Focus,2019,16798,17998,150.0,60.1,1.0,6,0,1,0,0,0,0,0,1
 Fiesta,2019,13598,12391,145.0,58.9,1.0,5,0,1,0,0,0,0,0,1
 Kuga,2018,15998,7063,150.0,31.0,1.5,13,1,0,0,0,0,0,0,1
 Grand C-MAX,2017,10830,14420,30.0,58.9,1.5,9,1,0,0,1,0,0,0,0
 KA,2014,4290,54096,30.0,57.7,1.2,11,0,1,0,0,0,0,0,1
 Fiesta,2015,7790,30947,0.0,65.7,1.0,5,0,1,0,0,0,0,0,1
 Fiesta,2017,11490,30993,145.0,47.9,1.6,5,0,1,0,0,0,0,0,1
 KA,2016,6340,13954,30.0,57.7,1.2,11,0,1,0,0,0,0,0,1
 Tourneo Connect,2016,11298,24939,30.0,61.4,1.5,20,0,1,0,1,0,0,0,0
 Focus,2018,14998,10306,145.0,58.9,1.0,6,0,1,0,0,0,0,0,1
 Focus,2018,16298,7097,145.0,64.2,2.0,6,1,0,0,1,0,0,0,0
 Kuga,2017,17298,32451,145.0,54.3,2.0,13,0,0,1,1,0,0,0,0
 Focus,2019,15798,11614,145.0,60.1,1.0,6,0,1,0,0,0,0,0,1
 Focus,2019,16998,12926,145.0,60.1,1.0,6,0,1,0,0,0,0,0,1
 Fiesta,2017,11495,28500,150.0,47.9,1.6,5,0,1,0,0,0,0,0,1
 Kuga,2015,11698,48523,150.0,54.3,2.0,13,0,1,0,1,0,0,0,0
 Focus,2018,13498,12726,145.0,51.4,1.5,6,0,1,0,0,0,0,0,1
 Ka+,2018,9998,6963,145.0,43.5,1.2,12,0,1,0,0,0,0,0,1
 Focus,2019,23695,3541,145.0,74.3,1.5,6,1,0,0,1,0,0,0,0
 Focus,2019,20498,9987,145.0,74.3,1.5,6,1,0,0,1,0,0,0,0
 Focus,2019,16998,13998,145.0,60.1,1.0,6,0,1,0,0,0,0,0,1
 Fiesta,2019,11198,16997,145.0,58.9,1.0,5,0,1,0,0,0,0,0,1
 Grand C-MAX,2018,11998,36244,145.0,54.3,1.0,9,0,1,0,0,0,0,0,1
 Grand C-MAX,2017,12698,12628,30.0,64.2,1.5,9,0,1,0,1,0,0,0,0
 Focus,2017,12998,25279,0.0,74.3,1.5,6,0,1,0,1,0,0,0,0
 Fiesta,2019,11798,5029,150.0,48.7,1.1,5,0,1,0,0,0,0,0,1
 C-MAX,2019,13798,6505,150.0,48.7,1.0,1,0,1,0,0,0,0,0,1
 Fiesta,2018,14660,2150,145.0,54.3,1.0,5,1,0,0,0,0,0,0,1
 Focus,2015,7050,70672,0.0,74.3,1.5,6,0,1,0,1,0,0,0,0
 Focus,2016,8370,43924,20.0,60.1,1.0,6,0,1,0,0,0,0,0,1
 Fiesta,2015,8990,26437,20.0,62.8,1.0,5,0,1,0,0,0,0,0,1
 Fiesta,2013,4990,66175,0.0,85.6,1.6,5,0,1,0,1,0,0,0,0
 Fiesta,2019,12998,10102,145.0,58.9,1.0,5,0,1,0,0,0,0,0,1
 Focus,2019,16998,21277,145.0,60.1,1.0,6,0,1,0,0,0,0,0,1
 Focus,2019,17298,12142,145.0,48.7,1.0,6,0,1,0,0,0,0,0,1
 Fiesta,2018,10495,33237,145.0,60.1,1.0,5,0,1,0,0,0,0,0,1
 Fiesta,2018,11250,16787,145.0,56.5,1.0,5,0,1,0,0,0,0,0,1
 Fiesta,2017,8550,16173,145.0,65.7,1.0,5,0,1,0,0,0,0,0,1
 Kuga,2017,15086,40198,145.0,64.2,1.5,13,0,1,0,1,0,0,0,0
 EcoSport,2014,6420,76314,30.0,61.4,1.5,2,0,1,0,1,0,0,0,0
 Fiesta,2016,9699,23149,20.0,62.8,1.0,5,0,1,0,0,0,0,0,1
 Fiesta,2019,13200,2803,145.0,58.9,1.0,5,0,1,0,0,0,0,0,1
 B-MAX,2018,10500,7994,145.0,55.4,1.0,0,0,1,0,0,0,0,0,1
 Fiesta,2017,10998,6931,0.0,57.7,1.0,5,0,0,1,0,0,0,0,1
 Kuga,2017,14298,20442,150.0,64.2,1.5,13,0,1,0,1,0,0,0,0
 Mondeo,2015,9998,51916,0.0,78.5,1.5,14,0,1,0,1,0,0,0,0
 Fiesta,2017,9698,12920,0.0,65.7,1.0,5,0,1,0,0,0,0,0,1
 Fiesta,2016,8998,14342,0.0,65.7,1.0,5,0,1,0,0,0,0,0,1
 Fiesta,2014,7698,22384,0.0,65.7,1.0,5,0,1,0,0,0,0,0,1
 Kuga,2016,12990,29106,30.0,64.2,1.5,13,0,1,0,1,0,0,0,0
 Fiesta,2017,9770,23653,0.0,65.7,1.0,5,0,1,0,0,0,0,0,1
 Focus,2016,9280,30150,0.0,74.3,1.5,6,0,1,0,1,0,0,0,0
 Focus,2014,12046,48254,235.0,39.2,2.0,6,0,1,0,0,0,0,0,1
 Focus,2018,18991,19460,145.0,67.3,2.0,6,0,1,0,1,0,0,0,0
 Kuga,2019,19991,11559,145.0,37.7,2.0,13,1,0,0,1,0,0,0,0
 Fiesta,2014,7491,17200,30.0,54.3,1.2,5,0,1,0,0,0,0,0,1
 Fiesta,2017,9849,13998,145.0,65.7,1.0,5,0,1,0,0,0,0,0,1
 Mondeo,2016,10799,59193,30.0,65.7,2.0,14,0,1,0,1,0,0,0,0
 Focus,2016,10699,9027,20.0,60.1,1.0,6,0,1,0,0,0,0,0,1
 Fiesta,2015,7499,16427,0.0,65.7,1.0,5,0,1,0,0,0,0,0,1
 Fiesta,2013,5698,70048,0.0,65.7,1.0,5,0,1,0,0,0,0,0,1
 EcoSport,2017,10298,21420,125.0,53.3,1.0,2,0,1,0,0,0,0,0,1
 Fiesta,2018,10298,18840,145.0,65.7,1.0,5,0,1,0,0,0,0,0,1
 Focus,2017,9998,46011,0.0,74.3,1.5,6,0,1,0,1,0,0,0,0
 Focus,2017,15798,38199,145.0,67.3,2.0,6,0,1,0,1,0,0,0,0
 Fiesta,2019,13998,13024,145.0,58.9,1.0,5,0,1,0,0,0,0,0,1
 Kuga,2018,15498,21602,145.0,64.2,1.5,13,0,1,0,1,0,0,0,0
 Kuga,2016,16498,23151,145.0,54.3,2.0,13,0,0,1,1,0,0,0,0
 Focus,2019,16498,12368,145.0,74.3,1.5,6,1,0,0,1,0,0,0,0
 Fiesta,2014,6998,20325,30.0,54.3,1.2,5,0,1,0,0,0,0,0,1
 Fiesta,2016,8998,12118,125.0,54.3,1.2,5,0,1,0,0,0,0,0,1
 Focus,2017,18698,14087,200.0,41.5,2.0,6,0,1,0,0,0,0,0,1
 EcoSport,2019,13998,13194,145.0,54.3,1.0,2,0,1,0,0,0,0,0,1
 Fiesta,2017,9698,27025,145.0,65.7,1.0,5,0,1,0,0,0,0,0,1
 Kuga,2018,14390,37813,145.0,60.1,2.0,13,0,1,0,1,0,0,0,0
 Galaxy,2017,17799,20747,150.0,56.5,2.0,8,0,1,0,1,0,0,0,0
 Fiesta,2015,6999,49000,0.0,65.7,1.0,5,0,1,0,0,0,0,0,1
 EcoSport,2017,9380,33929,145.0,64.2,1.5,2,0,1,0,1,0,0,0,0
 Fiesta,2019,11999,12700,145.0,65.7,1.0,5,0,1,0,0,0,0,0,1
 Focus,2017,10500,31350,145.0,74.3,1.5,6,0,1,0,1,0,0,0,0
 Kuga,2018,15270,37484,145.0,54.3,2.0,13,0,1,0,1,0,0,0,0
 Fiesta,2017,8617,11560,145.0,65.7,1.0,5,0,1,0,0,0,0,0,1
 Fiesta,2016,11499,24300,145.0,47.9,1.6,5,0,1,0,0,0,0,0,1
 EcoSport,2017,10478,30069,150.0,64.2,1.5,2,0,1,0,1,0,0,0,0
 Grand Tourneo Connect,2017,14998,18209,145.0,56.6,1.5,10,1,0,0,1,0,0,0,0
 Focus,2017,9698,34371,0.0,74.3,1.5,6,0,1,0,1,0,0,0,0
 Focus,2019,16498,12245,145.0,51.4,1.0,6,1,0,0,0,0,0,0,1
 Focus,2019,16598,11256,145.0,51.4,1.0,6,1,0,0,0,0,0,0,1
 Fiesta,2018,15498,3059,145.0,60.1,1.0,5,0,1,0,0,0,0,0,1
 Focus,2017,9298,30987,20.0,60.1,1.0,6,0,1,0,0,0,0,0,1
 Kuga,2018,17498,17662,150.0,60.1,2.0,13,0,1,0,1,0,0,0,0
 Focus,2017,16998,29068,150.0,67.3,2.0,6,0,1,0,1,0,0,0,0
 Kuga,2017,16298,35121,145.0,54.3,2.0,13,0,1,0,1,0,0,0,0
 EcoSport,2017,10498,13613,125.0,53.3,1.0,2,0,1,0,0,0,0,0,1
 Fiesta,2016,8980,8346,125.0,54.3,1.2,5,0,1,0,0,0,0,0,1
 Kuga,2015,12150,63000,145.0,54.3,2.0,13,0,1,0,1,0,0,0,0
 Kuga,2016,13200,33698,145.0,52.3,2.0,13,0,0,1,1,0,0,0,0
 Focus,2019,15900,11507,145.0,60.1,1.0,6,0,1,0,0,0,0,0,1
 Kuga,2019,17860,8011,145.0,38.2,2.0,13,0,1,0,1,0,0,0,0
 Focus,2017,12980,11600,150.0,51.4,1.5,6,0,1,0,0,0,0,0,1
 Fiesta,2015,6810,49853,0.0,88.3,1.5,5,0,1,0,1,0,0,0,0
 KA,2014,4490,31423,30.0,57.7,1.2,11,0,1,0,0,0,0,0,1
 Focus,2017,10050,36789,0.0,74.3,1.5,6,0,1,0,1,0,0,0,0
 Focus,2015,12500,40310,205.0,41.5,2.0,6,0,1,0,0,0,0,0,1
 Kuga,2018,20850,4957,145.0,31.0,1.5,13,1,0,0,0,0,0,0,1
 Kuga,2018,20700,10439,145.0,39.2,2.0,13,0,1,0,1,0,0,0,0
 Focus,2017,11500,19386,125.0,51.4,1.0,6,0,0,1,0,0,0,0,1
 Kuga,2018,19380,36859,145.0,38.2,1.5,13,1,0,0,0,0,0,0,1
 Kuga,2018,19980,18911,145.0,39.2,2.0,13,0,1,0,1,0,0,0,0
 KA,2014,5480,35000,30.0,57.7,1.2,11,0,1,0,0,0,0,0,1
 Focus,2017,9980,27700,150.0,61.4,1.0,6,0,1,0,0,0,0,0,1
 Fiesta,2015,5980,26000,30.0,54.3,1.2,5,0,1,0,0,0,0,0,1
 Focus,2016,8980,56000,0.0,74.3,1.5,6,0,1,0,1,0,0,0,0
 Kuga,2019,18300,9600,150.0,35.3,1.5,13,0,1,0,0,0,0,0,1
 S-MAX,2017,18990,35601,145.0,52.3,2.0,18,0,0,1,1,0,0,0,0
 Fiesta,2017,9490,12620,0.0,65.7,1.0,5,0,1,0,0,0,0,0,1
 Ka+,2019,10990,2851,145.0,43.5,1.2,12,0,1,0,0,0,0,0,1
 Fiesta,2018,10490,30922,145.0,65.7,1.0,5,0,1,0,0,0,0,0,1
 Kuga,2014,10500,22500,145.0,53.3,2.0,13,0,1,0,1,0,0,0,0
 Fiesta,2015,9000,34921,0.0,57.7,1.0,5,0,0,1,0,0,0,0,1
 Fiesta,2016,7250,22440,125.0,54.3,1.2,5,0,1,0,0,0,0,0,1
 Fiesta,2017,12495,13174,150.0,47.9,1.6,5,0,1,0,0,0,0,0,1
 Fiesta,2020,18290,1005,145.0,51.4,1.0,5,0,1,0,0,0,0,0,1
 Puma,2020,23155,1250,145.0,50.4,1.0,16,0,1,0,0,0,0,0,1
 Focus,2019,19725,3309,145.0,74.3,1.5,6,0,1,0,1,0,0,0,0
 B-MAX,2016,8430,31842,160.0,44.1,1.6,0,0,0,1,0,0,0,0,1
 Focus,2016,10170,36563,20.0,60.1,1.0,6,0,1,0,0,0,0,0,1
 Tourneo Custom,2019,24995,6375,145.0,32.5,2.0,21,0,1,0,1,0,0,0,0
 Tourneo Custom,2019,24995,5341,145.0,32.5,2.0,21,0,1,0,1,0,0,0,0
 Focus,2018,19690,16000,145.0,41.5,2.0,6,0,1,0,0,0,0,0,1
 Fiesta,2016,11750,22000,145.0,47.9,1.6,5,0,1,0,0,0,0,0,1
 C-MAX,2014,7471,53301,30.0,62.8,1.6,1,0,1,0,1,0,0,0,0
 Focus,2013,5971,73411,20.0,67.3,1.6,6,0,1,0,1,0,0,0,0
 Fiesta,2017,9471,11212,145.0,54.3,1.2,5,0,1,0,0,0,0,0,1
 Fiesta,2017,9690,23000,0.0,65.7,1.0,5,0,1,0,0,0,0,0,1
 Fiesta,2017,7710,34261,145.0,78.5,1.5,5,0,1,0,1,0,0,0,0
 Focus,2016,8667,47832,0.0,74.3,1.5,6,0,1,0,1,0,0,0,0
 Focus,2017,9000,41482,0.0,74.3,1.5,6,0,1,0,1,0,0,0,0
 Fiesta,2018,11991,31107,145.0,54.3,1.0,5,0,0,1,0,0,0,0,1
 C-MAX,2015,7495,33958,165.0,42.8,1.6,1,0,1,0,0,0,0,0,1
 Fiesta,2014,5995,44523,0.0,76.4,1.5,5,0,1,0,1,0,0,0,0
 Focus,2018,13990,7423,150.0,57.7,1.0,6,0,1,0,0,0,0,0,1
 Focus,2018,12670,7162,150.0,60.1,1.0,6,0,1,0,0,0,0,0,1
 Fiesta,2013,6890,27732,0.0,76.4,1.5,5,0,1,0,1,0,0,0,0
 Focus,2019,19490,2000,145.0,58.9,1.0,6,0,1,0,0,0,0,0,1
 Kuga,2019,21390,6901,145.0,37.7,2.0,13,0,1,0,1,0,0,0,0
 Fiesta,2014,8280,28371,0.0,65.7,1.0,5,0,1,0,0,0,0,0,1
 Fiesta,2016,7990,20362,0.0,65.7,1.0,5,0,1,0,0,0,0,0,1
 Ka+,2018,8890,3669,145.0,47.9,1.2,12,0,1,0,0,0,0,0,1
 Ka+,2018,8989,4536,145.0,47.9,1.2,12,0,1,0,0,0,0,0,1
 Fiesta,2019,15495,2112,145.0,58.9,1.0,5,0,1,0,0,0,0,0,1
 Focus,2015,12940,33000,20.0,67.3,2.0,6,0,1,0,1,0,0,0,0
 Galaxy,2019,28450,4577,145.0,54.3,2.0,8,0,0,1,1,0,0,0,0
 Kuga,2019,22980,3377,145.0,37.2,2.0,13,0,0,1,1,0,0,0,0
 Kuga,2019,22620,9963,145.0,38.7,2.0,13,0,0,1,1,0,0,0,0
 Kuga,2019,23190,5099,145.0,38.7,2.0,13,0,0,1,1,0,0,0,0
 Kuga,2019,23880,4507,145.0,38.7,2.0,13,0,0,1,1,0,0,0,0
 Galaxy,2019,23780,12500,145.0,55.4,2.0,8,0,1,0,1,0,0,0,0
 Fiesta,2016,7220,50211,0.0,88.3,1.5,5,0,1,0,1,0,0,0,0
 Kuga,2015,10191,50000,165.0,47.9,2.0,13,0,1,0,1,0,0,0,0
 EcoSport,2017,10491,8801,125.0,53.3,1.0,2,0,1,0,0,0,0,0,1
 B-MAX,2016,8650,11871,0.0,74.4,1.5,0,0,1,0,1,0,0,0,0
 Focus,2019,19298,5689,145.0,50.4,1.5,6,1,0,0,1,0,0,0,0
 Grand C-MAX,2017,10607,20366,30.0,54.3,1.0,9,0,1,0,0,0,0,0,1
 Fiesta,2018,13091,33937,145.0,62.8,1.0,5,0,1,0,0,0,0,0,1
 EcoSport,2014,6990,48462,30.0,61.4,1.5,2,0,1,0,0,0,0,0,1
 Grand C-MAX,2016,10495,15146,30.0,58.9,1.5,9,1,0,0,1,0,0,0,0
 Focus,2018,13180,19065,145.0,74.3,1.5,6,0,0,1,1,0,0,0,0
 Fiesta,2013,6800,15974,0.0,65.7,1.0,5,0,1,0,0,0,0,0,1
 Grand C-MAX,2016,10277,15414,30.0,64.2,1.5,9,0,1,0,1,0,0,0,0
 Focus,2015,13338,23117,205.0,41.5,2.0,6,0,1,0,0,0,0,0,1
 Focus,2017,12890,14509,145.0,60.1,1.0,6,0,1,0,0,0,0,0,1
 Fiesta,2013,4780,47969,30.0,54.3,1.2,5,0,1,0,0,0,0,0,1
 Focus,2017,19320,11909,145.0,41.5,2.0,6,0,1,0,0,0,0,0,1
 Fiesta,2014,6590,24916,30.0,54.3,1.2,5,0,1,0,0,0,0,0,1
 Kuga,2017,19990,18500,145.0,54.3,2.0,13,0,0,1,1,0,0,0,0
 Kuga,2017,12240,20245,30.0,64.2,1.5,13,0,1,0,1,0,0,0,0
 Focus,2018,17060,9000,145.0,67.3,2.0,6,0,1,0,1,0,0,0,0
 Mondeo,2015,10547,35226,30.0,64.2,2.0,14,0,1,0,1,0,0,0,0
 Fiesta,2015,9578,44000,145.0,47.9,1.6,5,0,1,0,0,0,0,0,1
 Fiesta,2015,8082,32309,0.0,65.7,1.0,5,0,1,0,0,0,0,0,1
 Focus,2017,11731,22522,20.0,60.1,1.0,6,0,1,0,0,0,0,0,1
 Kuga,2015,10441,46032,125.0,60.1,2.0,13,0,1,0,1,0,0,0,0
 Focus,2018,15250,3939,150.0,57.7,1.0,6,0,1,0,0,0,0,0,1
 Fiesta,2015,6999,28861,30.0,54.3,1.2,5,0,1,0,0,0,0,0,1
 Kuga,2017,13480,37652,125.0,60.1,2.0,13,0,1,0,1,0,0,0,0
 C-MAX,2017,7950,52053,20.0,68.9,1.5,1,0,1,0,1,0,0,0,0
 Focus,2019,22998,7030,145.0,74.3,1.5,6,1,0,0,1,0,0,0,0
 Fiesta,2018,9298,20369,145.0,65.7,1.0,5,0,1,0,0,0,0,0,1
 Focus,2017,17298,9463,145.0,41.5,2.0,6,0,1,0,0,0,0,0,1
 Focus,2019,16998,11651,150.0,60.1,1.0,6,0,1,0,0,0,0,0,1
 C-MAX,2017,12298,18593,30.0,55.4,1.0,1,0,1,0,0,0,0,0,1
 Fiesta,2013,6100,48438,30.0,54.3,1.2,5,0,1,0,0,0,0,0,1
 B-MAX,2016,7197,49132,0.0,74.4,1.5,0,0,1,0,1,0,0,0,0
 Focus,2017,10490,47018,145.0,51.4,1.0,6,0,0,1,0,0,0,0,1
 Focus,2014,7470,50039,30.0,56.5,1.0,6,0,1,0,0,0,0,0,1
 Fiesta,2018,12698,5987,150.0,58.9,1.0,5,0,1,0,0,0,0,0,1
 Focus,2017,12498,16549,150.0,74.3,1.5,6,0,1,0,1,0,0,0,0
 B-MAX,2017,10798,13167,30.0,55.4,1.0,0,0,1,0,0,0,0,0,1
 Focus,2013,5840,58804,20.0,67.3,1.6,6,0,1,0,1,0,0,0,0
 Fiesta,2017,9420,40792,0.0,57.7,1.0,5,0,0,1,0,0,0,0,1
 Focus,2018,10870,19862,145.0,60.1,1.0,6,0,1,0,0,0,0,0,1
 Fiesta,2018,8791,13579,150.0,64.2,1.1,5,0,1,0,0,0,0,0,1
 C-MAX,2017,10298,40375,150.0,68.9,1.5,1,0,1,0,1,0,0,0,0
 Galaxy,2017,18498,40512,150.0,52.3,2.0,8,0,0,1,1,0,0,0,0
 Focus,2019,18798,5015,150.0,62.8,2.0,6,0,1,0,1,0,0,0,0
 Fiesta,2018,10298,11552,150.0,55.4,1.1,5,0,1,0,0,0,0,0,1
 Fiesta,2015,6298,34701,125.0,54.3,1.2,5,0,1,0,0,0,0,0,1
 Focus,2017,9798,27485,150.0,60.1,1.0,6,0,1,0,0,0,0,0,1
 Kuga,2017,13298,16400,165.0,45.6,1.5,13,0,1,0,0,0,0,0,1
 Focus,2018,13998,10826,150.0,51.4,1.0,6,0,0,1,0,0,0,0,1
 Focus,2016,10250,30086,0.0,74.3,1.5,6,0,1,0,1,0,0,0,0
 Focus,2017,11750,27800,145.0,60.1,1.0,6,0,1,0,0,0,0,0,1
 Kuga,2019,21000,10671,145.0,31.0,1.5,13,1,0,0,0,0,0,0,1
 Focus,2015,8000,40253,20.0,60.1,1.0,6,0,1,0,0,0,0,0,1
 Focus,2018,13500,9999,145.0,57.7,1.0,6,0,1,0,0,0,0,0,1
 Kuga,2017,16000,8543,145.0,64.2,1.5,13,0,1,0,1,0,0,0,0
 Fiesta,2014,6650,57016,0.0,65.7,1.0,5,0,1,0,0,0,0,0,1
 Focus,2016,15500,13036,200.0,41.5,2.0,6,0,1,0,0,0,0,0,1
 B-MAX,2017,12000,8589,145.0,57.7,1.0,0,0,1,0,0,0,0,0,1
 EcoSport,2017,11750,14372,145.0,53.3,1.0,2,0,1,0,0,0,0,0,1
 Fiesta,2016,11498,15411,0.0,57.7,1.0,5,0,0,1,0,0,0,0,1
 Grand C-MAX,2017,11498,36658,150.0,64.2,1.5,9,0,1,0,1,0,0,0,0
 Galaxy,2017,19298,26035,150.0,52.3,2.0,8,0,0,1,1,0,0,0,0
 Fiesta,2019,11498,5492,150.0,48.7,1.1,5,0,1,0,0,0,0,0,1
 Focus,2019,19498,4551,145.0,64.2,2.0,6,1,0,0,1,0,0,0,0
 Ka+,2016,7698,9578,30.0,57.7,1.2,12,0,1,0,0,0,0,0,1
 Fiesta,2014,6698,35725,30.0,54.3,1.2,5,0,1,0,0,0,0,0,1
 Focus,2017,10298,18563,150.0,60.1,1.0,6,0,1,0,0,0,0,0,1
 Fiesta,2015,7410,53593,0.0,78.5,1.5,5,0,1,0,1,0,0,0,0
 EcoSport,2016,10000,40200,125.0,52.3,1.0,2,0,1,0,0,0,0,0,1
 Focus,2017,15877,40454,145.0,67.3,2.0,6,0,1,0,1,0,0,0,0
 Fiesta,2018,11000,18039,145.0,65.7,1.0,5,0,1,0,0,0,0,0,1
 Ka+,2018,8471,18703,145.0,48.7,1.2,12,0,1,0,0,0,0,0,1
 Fiesta,2017,9312,18850,145.0,65.7,1.0,5,0,1,0,0,0,0,0,1
 Fiesta,2017,9500,17226,145.0,65.7,1.0,5,0,1,0,0,0,0,0,1
 Kuga,2016,15000,29680,145.0,54.3,2.0,13,0,1,0,1,0,0,0,0
 Focus,2019,17000,3745,145.0,60.1,1.0,6,0,1,0,0,0,0,0,1
 B-MAX,2016,8498,24348,0.0,74.4,1.5,0,0,1,0,1,0,0,0,0
 C-MAX,2017,11698,22997,145.0,55.4,1.0,1,0,1,0,0,0,0,0,1
 Edge,2018,25498,19364,145.0,47.9,2.0,3,0,0,1,1,0,0,0,0
 Fiesta,2016,10298,24745,0.0,78.5,1.5,5,0,1,0,1,0,0,0,0
 Focus,2019,17998,23521,145.0,60.1,1.0,6,0,1,0,0,0,0,0,1
 Focus,2019,17498,14074,145.0,61.4,1.5,6,0,1,0,1,0,0,0,0
 Fiesta,2019,14998,8147,145.0,60.1,1.0,5,0,1,0,0,0,0,0,1
 Kuga,2015,14498,37623,145.0,54.3,2.0,13,0,1,0,1,0,0,0,0
 Galaxy,2016,13998,77495,125.0,56.5,2.0,8,0,1,0,1,0,0,0,0
 Fiesta,2016,7899,25465,125.0,54.3,1.2,5,0,1,0,0,0,0,0,1
 Focus,2017,11000,50940,0.0,74.3,1.5,6,0,1,0,1,0,0,0,0
 Focus,2015,6999,63259,20.0,61.4,1.0,6,0,1,0,0,0,0,0,1
 B-MAX,2014,7500,15800,150.0,47.1,1.4,0,0,1,0,0,0,0,0,1
 Ka+,2017,7999,14796,145.0,57.7,1.2,12,0,1,0,0,0,0,0,1
 Fiesta,2017,8999,19300,125.0,54.3,1.2,5,0,1,0,0,0,0,0,1
 Focus,2017,10950,21631,150.0,60.1,1.0,6,0,1,0,0,0,0,0,1
 Fiesta,2016,10500,19255,0.0,78.5,1.5,5,0,1,0,1,0,0,0,0
