model,year,price,mileage,tax,mpg,engineSize,model_encoded,transmission_Automatic,transmission_Manual,transmission_Semi-Auto,fuelType_Diesel,fuelType_Electric,fuelType_Hybrid,fuelType_Other,fuelType_Petrol
 Focus,2015,7830,50124,0.0,74.3,1.5,6,0,1,0,1,0,0,0,0
 Fiesta,2015,6990,29851,0.0,76.4,1.5,5,0,1,0,1,0,0,0,0
 Edge,2016,18640,24105,160.0,48.7,2.0,3,0,1,0,1,0,0,0,0
 Fiesta,2015,6700,28935,30.0,54.3,1.2,5,0,1,0,0,0,0,0,1
 Fiesta,2018,9498,30925,145.0,65.7,1.0,5,0,1,0,0,0,0,0,1
 Focus,2018,13698,13418,145.0,58.9,1.0,6,0,1,0,0,0,0,0,1
 Fiesta,2018,13298,13756,145.0,58.9,1.0,5,0,1,0,0,0,0,0,1
 Kuga,2015,14398,25175,145.0,54.3,2.0,13,0,1,0,1,0,0,0,0
 Fiesta,2017,8998,21267,145.0,64.2,1.1,5,0,1,0,0,0,0,0,1
 Fiesta,2019,12698,12130,145.0,56.5,1.0,5,0,1,0,0,0,0,0,1
 Fiesta,2019,11998,17354,145.0,56.5,1.0,5,0,1,0,0,0,0,0,1
 Fiesta,2019,13498,15822,145.0,58.9,1.0,5,0,1,0,0,0,0,0,1
 Fiesta,2019,13498,10557,145.0,58.9,1.0,5,0,1,0,0,0,0,0,1
 Focus,2016,9698,20786,20.0,61.4,1.0,6,0,1,0,0,0,0,0,1
 Focus,2016,24995,7997,235.0,36.7,2.3,6,0,1,0,0,0,0,0,1
 Fiesta,2017,9895,19079,145.0,65.7,1.0,5,0,1,0,0,0,0,0,1
 Fiesta,2018,12995,14979,145.0,58.9,1.0,5,0,1,0,0,0,0,0,1
 Tourneo Connect,2015,9295,47904,125.0,56.5,1.6,20,0,1,0,1,0,0,0,0
 Fiesta,2016,8495,24410,125.0,54.3,1.2,5,0,1,0,0,0,0,0,1
 Fiesta,2019,13895,13600,145.0,58.9,1.0,5,0,1,0,0,0,0,0,1
 Focus,2018,18298,21456,145.0,67.3,2.0,6,0,1,0,1,0,0,0,0
 Focus,2015,9198,31512,0.0,74.3,1.5,6,0,1,0,1,0,0,0,0
 Fiesta,2016,10798,11843,0.0,65.7,1.0,5,0,1,0,0,0,0,0,1
 Fiesta,2016,8998,31373,0.0,65.7,1.0,5,0,1,0,0,0,0,0,1
 Kuga,2018,18498,7796,145.0,54.3,1.5,13,0,1,0,1,0,0,0,0
 Kuga,2017,13498,26597,145.0,54.3,2.0,13,0,1,0,1,0,0,0,0
 Kuga,2017,14998,15978,30.0,64.2,1.5,13,0,1,0,1,0,0,0,0
 Kuga,2017,13998,13265,240.0,38.2,1.5,13,1,0,0,0,0,0,0,1
 EcoSport,2016,9998,20491,125.0,52.3,1.0,2,0,1,0,0,0,0,0,1
 Tourneo Connect,2017,10998,16310,125.0,50.4,1.0,20,0,1,0,0,0,0,0,1
 Focus,2017,17698,14557,145.0,41.5,2.0,6,0,1,0,0,0,0,0,1
 Focus,2017,11498,30917,125.0,51.4,1.0,6,0,0,1,0,0,0,0,1
 Focus,2017,12798,22153,145.0,74.3,1.5,6,0,1,0,1,0,0,0,0
 C-MAX,2015,8698,31743,30.0,55.4,1.0,1,0,1,0,0,0,0,0,1
 Kuga,2019,19495,13673,145.0,47.9,2.0,13,0,1,0,1,0,0,0,0
 Fiesta,2018,9995,25776,145.0,65.7,1.0,5,0,1,0,0,0,0,0,1
 Focus,2016,10995,30923,0.0,74.3,1.5,6,0,1,0,1,0,0,0,0
 Kuga,2017,13998,24504,150.0,64.2,1.5,13,0,1,0,1,0,0,0,0
 Fiesta,2017,11998,6568,145.0,62.8,1.0,5,0,1,0,0,0,0,0,1
 Tourneo Connect,2016,8998,42960,30.0,61.4,1.5,20,0,1,0,1,0,0,0,0
 Kuga,2018,16698,5117,145.0,54.3,1.5,13,0,1,0,1,0,0,0,0
 EcoSport,2016,8998,31736,125.0,53.3,1.0,2,0,1,0,0,0,0,0,1
 Fiesta,2015,7998,19212,0.0,65.7,1.0,5,0,1,0,0,0,0,0,1
 Fiesta,2018,12495,12426,145.0,65.7,1.0,5,0,1,0,0,0,0,0,1
 Ka+,2017,7995,12872,145.0,57.7,1.2,12,0,1,0,0,0,0,0,1
 Puma,2020,21995,4111,145.0,50.4,1.0,16,0,1,0,0,0,0,0,1
 Kuga,2018,16995,34690,145.0,60.1,2.0,13,0,1,0,1,0,0,0,0
 Fiesta,2018,11995,32168,145.0,65.7,1.0,5,0,1,0,0,0,0,0,1
 Kuga,2019,19995,11312,145.0,47.9,2.0,13,0,1,0,1,0,0,0,0
 Fiesta,2017,8995,31559,145.0,65.7,1.0,5,0,1,0,0,0,0,0,1
 Ka+,2017,8295,23000,145.0,57.7,1.2,12,0,1,0,0,0,0,0,1
 EcoSport,2018,14698,6442,145.0,54.3,1.0,2,0,1,0,0,0,0,0,1
 Fiesta,2016,10498,29590,0.0,57.7,1.0,5,0,0,1,0,0,0,0,1
 Focus,2018,14495,17030,145.0,57.7,1.0,6,0,1,0,0,0,0,0,1
 Focus,2016,8995,22493,20.0,60.1,1.0,6,0,1,0,0,0,0,0,1
 Focus,2016,15995,29600,20.0,67.3,2.0,6,0,1,0,1,0,0,0,0
 C-MAX,2016,10995,26500,125.0,58.9,2.0,1,0,0,1,1,0,0,0,0
 Tourneo Custom,2017,19995,14000,200.0,44.8,2.0,21,0,1,0,1,0,0,0,0
 C-MAX,2013,8295,34783,30.0,61.4,1.6,1,0,1,0,1,0,0,0,0
 Focus,2015,7995,56655,20.0,67.3,1.6,6,0,1,0,1,0,0,0,0
 Kuga,2019,19995,16000,150.0,47.9,2.0,13,0,1,0,1,0,0,0,0
 Mondeo,2015,9995,30753,0.0,78.5,1.5,14,0,1,0,1,0,0,0,0
 Grand C-MAX,2018,13495,1030,145.0,47.9,1.0,9,0,1,0,0,0,0,0,1
 C-MAX,2017,12995,7817,145.0,55.4,1.0,1,0,1,0,0,0,0,0,1
 Focus,2018,12995,9781,145.0,60.1,1.0,6,0,1,0,0,0,0,0,1
 EcoSport,2018,12998,17241,145.0,54.3,1.0,2,0,1,0,0,0,0,0,1
 Tourneo Connect,2015,10298,28309,125.0,58.9,1.6,20,0,1,0,1,0,0,0,0
 Fiesta,2017,10498,50599,0.0,65.7,1.0,5,0,1,0,0,0,0,0,1
 Focus,2018,11298,37880,150.0,74.3,1.5,6,0,0,1,1,0,0,0,0
 Kuga,2016,10698,56888,125.0,60.1,2.0,13,0,1,0,1,0,0,0,0
 Focus,2018,15995,10500,145.0,60.1,1.0,6,0,1,0,0,0,0,0,1
 B-MAX,2014,6995,50800,160.0,44.1,1.6,0,0,0,1,0,0,0,0,1
 Fiesta,2019,13950,6700,145.0,58.9,1.0,5,0,1,0,0,0,0,0,1
 Fiesta,2017,10650,31800,150.0,65.7,1.0,5,0,1,0,0,0,0,0,1
 Fiesta,2016,7995,20700,125.0,54.3,1.2,5,0,1,0,0,0,0,0,1
 Focus,2016,11495,29900,0.0,74.3,1.5,6,0,1,0,1,0,0,0,0
 Kuga,2018,16995,32858,145.0,54.3,2.0,13,0,1,0,1,0,0,0,0
 Fiesta,2018,11995,31593,145.0,65.7,1.0,5,0,1,0,0,0,0,0,1
 Focus,2015,10995,13791,125.0,51.4,1.5,6,0,1,0,0,0,0,0,1
 Kuga,2019,20495,12034,145.0,47.9,2.0,13,0,1,0,1,0,0,0,0
 Focus,2018,19995,10923,145.0,67.3,2.0,6,0,1,0,1,0,0,0,0
 Kuga,2019,19995,10171,145.0,38.2,2.0,13,0,1,0,1,0,0,0,0
 EcoSport,2019,18995,2291,145.0,52.3,1.0,2,0,1,0,0,0,0,0,1
 Focus,2017,11995,23469,125.0,51.4,1.5,6,0,1,0,0,0,0,0,1
 Kuga,2017,16998,13626,125.0,60.1,2.0,13,0,1,0,1,0,0,0,0
 Fiesta,2016,7398,35180,125.0,54.3,1.2,5,0,1,0,0,0,0,0,1
 Fiesta,2019,11498,17708,145.0,58.9,1.0,5,0,1,0,0,0,0,0,1
 Fiesta,2019,13998,9957,145.0,58.9,1.0,5,0,1,0,0,0,0,0,1
 Focus,2019,16698,4542,145.0,60.1,1.0,6,0,1,0,0,0,0,0,1
 Mondeo,2016,9998,38358,0.0,78.5,1.5,14,0,1,0,1,0,0,0,0
 Focus,2015,12998,25878,20.0,67.3,2.0,6,0,1,0,1,0,0,0,0
 EcoSport,2016,9998,18325,160.0,44.8,1.5,2,0,0,1,0,0,0,0,1
 Focus,2017,12498,9338,145.0,60.1,1.0,6,0,1,0,0,0,0,0,1
 EcoSport,2018,14998,7133,145.0,58.9,1.5,2,0,1,0,1,0,0,0,0
 Focus,2017,10498,42002,20.0,60.1,1.0,6,0,1,0,0,0,0,0,1
 Kuga,2017,16995,3700,145.0,38.2,1.5,13,1,0,0,0,0,0,0,1
 Focus,2019,15495,5600,145.0,60.1,1.0,6,0,1,0,0,0,0,0,1
 Fiesta,2015,9495,17288,0.0,65.7,1.0,5,0,1,0,0,0,0,0,1
 B-MAX,2013,5995,42996,20.0,70.6,1.6,0,0,1,0,1,0,0,0,0
 Focus,2014,7498,47566,30.0,56.5,1.0,6,0,1,0,0,0,0,0,1
 Fiesta,2017,11798,4262,0.0,65.7,1.0,5,0,1,0,0,0,0,0,1
 Fiesta,2017,10998,10125,145.0,65.7,1.0,5,0,1,0,0,0,0,0,1
 Focus,2017,14998,17028,150.0,46.3,1.5,6,1,0,0,0,0,0,0,1
 Fiesta,2017,8998,12753,145.0,54.3,1.2,5,0,1,0,0,0,0,0,1
 Focus,2016,13998,24895,20.0,67.3,2.0,6,0,1,0,1,0,0,0,0
 Focus,2017,17998,9066,145.0,41.5,2.0,6,0,1,0,0,0,0,0,1
 Fiesta,2019,18998,3292,145.0,40.3,1.5,5,0,1,0,0,0,0,0,1
 Kuga,2013,9198,48130,200.0,45.6,2.0,13,0,0,1,1,0,0,0,0
 Kuga,2015,14498,27513,145.0,54.3,2.0,13,0,1,0,1,0,0,0,0
 Focus,2017,14998,32511,150.0,41.5,2.0,6,0,1,0,0,0,0,0,1
 Fiesta,2016,8498,21888,125.0,54.3,1.2,5,0,1,0,0,0,0,0,1
 Fiesta,2019,13995,11130,145.0,58.9,1.0,5,0,1,0,0,0,0,0,1
 Focus,2017,18498,14441,145.0,41.5,2.0,6,0,1,0,0,0,0,0,1
 Focus,2018,13998,13401,145.0,60.1,1.0,6,0,1,0,0,0,0,0,1
 Fiesta,2019,12798,10567,145.0,58.9,1.0,5,0,1,0,0,0,0,0,1
 Fiesta,2019,14698,7872,145.0,58.9,1.0,5,0,1,0,0,0,0,0,1
 Ka+,2017,7698,10641,30.0,57.7,1.2,12,0,1,0,0,0,0,0,1
 EcoSport,2018,12498,10222,145.0,54.3,1.0,2,0,1,0,0,0,0,0,1
 Fiesta,2017,9998,28519,20.0,62.8,1.0,5,0,1,0,0,0,0,0,1
 Kuga,2017,13998,51772,125.0,60.1,2.0,13,0,1,0,1,0,0,0,0
 Fiesta,2016,9500,7350,0.0,57.7,1.0,5,1,0,0,0,0,0,0,1
 Ka+,2018,8195,12231,145.0,47.9,1.2,12,0,1,0,0,0,0,0,1
 Kuga,2019,21498,5354,150.0,31.0,1.5,13,1,0,0,0,0,0,0,1
 Focus,2017,17998,19525,145.0,41.5,2.0,6,0,1,0,0,0,0,0,1
 EcoSport,2018,14498,11922,145.0,54.3,1.0,2,0,1,0,0,0,0,0,1
 C-MAX,2016,9998,16984,20.0,68.9,1.5,1,0,1,0,1,0,0,0,0
 Fiesta,2016,7998,16070,125.0,54.3,1.2,5,0,1,0,0,0,0,0,1
 Focus,2018,10998,26648,145.0,61.4,1.0,6,0,1,0,0,0,0,0,1
 Fiesta,2017,10998,19140,145.0,62.8,1.0,5,0,1,0,0,0,0,0,1
 Focus,2016,9998,26399,0.0,74.3,1.5,6,0,1,0,1,0,0,0,0
 Fiesta,2013,5498,53545,30.0,54.3,1.2,5,0,1,0,0,0,0,0,1
 Fiesta,2017,9298,25491,0.0,65.7,1.0,5,0,1,0,0,0,0,0,1
 Fiesta,2014,7298,31359,0.0,65.7,1.0,5,0,1,0,0,0,0,0,1
 Focus,2016,8498,51656,0.0,74.3,1.5,6,0,1,0,1,0,0,0,0
 Kuga,2016,17698,11221,145.0,54.3,2.0,13,0,0,1,1,0,0,0,0
 Kuga,2017,14498,23356,145.0,60.1,2.0,13,0,1,0,1,0,0,0,0
 EcoSport,2018,12898,15267,145.0,53.3,1.0,2,0,1,0,0,0,0,0,1
 B-MAX,2017,7998,41294,0.0,74.4,1.5,0,0,1,0,1,0,0,0,0
 C-MAX,2018,12198,7993,145.0,49.6,1.0,1,0,1,0,0,0,0,0,1
 EcoSport,2017,9698,30207,145.0,53.3,1.0,2,0,1,0,0,0,0,0,1
 Fiesta,2016,8798,19815,0.0,65.7,1.0,5,0,1,0,0,0,0,0,1
 Kuga,2015,14298,43717,145.0,54.3,2.0,13,0,1,0,1,0,0,0,0
 Focus,2018,15798,4534,145.0,58.9,1.0,6,0,1,0,0,0,0,0,1
 Fiesta,2017,10298,9148,145.0,65.7,1.0,5,0,1,0,0,0,0,0,1
 KA,2014,4898,22609,30.0,57.7,1.2,11,0,1,0,0,0,0,0,1
 Focus,2016,10298,15510,0.0,74.3,1.5,6,0,1,0,1,0,0,0,0
 Fiesta,2017,9998,20347,0.0,65.7,1.0,5,0,1,0,0,0,0,0,1
 Kuga,2018,16698,3044,145.0,39.2,1.5,13,0,1,0,0,0,0,0,1
 Fiesta,2017,8998,5233,125.0,54.3,1.2,5,0,1,0,0,0,0,0,1
 Grand C-MAX,2015,8998,28359,125.0,60.1,1.6,9,0,1,0,1,0,0,0,0
 Focus,2017,12498,12244,125.0,51.4,1.0,6,0,0,1,0,0,0,0,1
 Fiesta,2018,12498,17918,145.0,65.7,1.0,5,0,1,0,0,0,0,0,1
 S-MAX,2020,34498,4623,145.0,43.5,2.0,18,0,0,1,1,0,0,0,0
 EcoSport,2017,9298,16770,145.0,44.8,1.5,2,0,1,0,0,0,0,0,1
 Focus,2017,10900,25459,145.0,60.1,1.0,6,0,1,0,0,0,0,0,1
 EcoSport,2017,9998,23913,125.0,53.3,1.0,2,0,1,0,0,0,0,0,1
 Fiesta,2018,12998,9901,150.0,65.7,1.0,5,0,1,0,0,0,0,0,1
 Focus,2016,10998,15006,125.0,51.4,1.0,6,0,0,1,0,0,0,0,1
 Focus,2017,15500,19593,145.0,41.5,2.0,6,0,1,0,0,0,0,0,1
 Kuga,2017,16200,23027,145.0,58.9,1.5,13,0,0,1,1,0,0,0,0
 C-MAX,2016,10500,13580,20.0,64.2,1.5,1,0,0,1,1,0,0,0,0
 Focus,2015,13200,32000,20.0,67.3,2.0,6,0,1,0,1,0,0,0,0
 Focus,2019,18698,15365,145.0,60.1,1.0,6,0,1,0,0,0,0,0,1
 Focus,2019,16998,7924,145.0,80.7,1.5,6,0,1,0,1,0,0,0,0
 Fiesta,2017,9998,10721,145.0,65.7,1.0,5,0,1,0,0,0,0,0,1
 EcoSport,2017,9498,25939,145.0,53.3,1.0,2,0,1,0,0,0,0,0,1
 Fiesta,2019,17498,3265,145.0,58.9,1.0,5,0,1,0,0,0,0,0,1
 Focus,2019,15998,11045,145.0,41.5,1.0,6,1,0,0,0,0,0,0,1
 EcoSport,2020,17998,250,145.0,51.4,1.0,2,0,1,0,0,0,0,0,1
 B-MAX,2013,5698,44901,145.0,47.1,1.4,0,0,1,0,0,0,0,0,1
 Focus,2017,9998,22001,20.0,60.1,1.0,6,0,1,0,0,0,0,0,1
 Fiesta,2020,17298,4563,145.0,54.3,1.0,5,0,1,0,0,0,0,0,1
 Fiesta,2019,16998,12236,145.0,55.4,1.0,5,0,1,0,0,0,0,0,1
